id,name,product_group_name,store_name,location,asset_number,serial_number,weight,replacement_charge,quantity_held,asset_replacement_value,purchase_price,effective_date,written_off,sold
1309,Opticalcon NAO4SW-A,Vision,LDMtv,"",5369001,10572010,1.0,382.0,1.0,382.0,382.0,2024-12-16 00:00:00 UTC,,
1311,Opticalcon NAO4SW-A,Vision,LDMtv,"",5369058,"",1.0,382.0,1.0,382.0,382.0,2024-12-16 00:00:00 UTC,,
1140,P2414HB,Vision,LDMtv,"",LDM1480,CN-036WJX-74261-58C-3UAU,6.1,65.0,1.0,65.0,65.0,2024-12-10 00:00:00 UTC,,
319,P2414HB,Vision,LDMtv,"",LDM1998,CN0KKMMW7426161P6P3LA06,6.1,65.0,1.0,65.0,65.0,2023-08-24 23:00:00 UTC,,
1163,P2414HB,Vision,LDMtv,"",T16-041,CN-036WJX-74261-SC7-07CU,6.1,65.0,1.0,65.0,65.0,2024-12-10 00:00:00 UTC,,
320,P2417HB,Vision,LDMtv,A1,LDM1008,CN0CW6Y77426165J0AFUA00,6.75,65.0,1.0,65.0,65.0,2023-08-24 23:00:00 UTC,,
1156,PL2738M,Vision,LDMtv,A1,LDM1479,151471300377,8.6,473.0,1.0,473.0,473.0,2024-12-10 00:00:00 UTC,,
536,PL-PRO DMC E,Vision,LDMtv,N1,LDM1829,FM2811A042173100374,4.6,528.0,1.0,528.0,528.0,2024-06-02 23:00:00 UTC,,
524,PL-PRO DMC E,Vision,LDMtv,N1,LDM1841,FM02811A042173100373,4.6,528.0,1.0,528.0,528.0,2024-06-02 23:00:00 UTC,,
1291,PLT1700,Vision,LDMtv,"",LDM1100,1107340225053,6.0,320.0,1.0,320.0,320.0,2024-12-16 00:00:00 UTC,,
1164,Pres Monitor Kit Bag,Vision,LDMtv,B1,5368988,5368988,0.0,85.0,1.0,85.0,85.0,2024-12-10 00:00:00 UTC,,
1039,Pro Convert SDI to NDI,Vision,LDMtv,D,LDM1548,A406210511077,0.3,432.0,1.0,432.0,0.0,2024-12-09 00:00:00 UTC,,
1038,Pro Convert SDI to NDI,Vision,LDMtv,D,LDM1549,A406210323150,0.3,432.0,1.0,432.0,0.0,2024-12-09 00:00:00 UTC,,
1450,PVM215A,Vision,LDMtv,V16,LDM1104,PVM21SA94833002,2.87,320.0,1.0,320.0,320.0,2020-12-19 00:00:00 UTC,,
474,PVM 2541A,Vision,LDMtv,V16,LDM1155,3000230,10.6,3900.0,1.0,3900.0,3900.0,2024-03-26 00:00:00 UTC,,
475,PVM 2541A,Vision,LDMtv,V16,LDM1156,7001725,10.6,3900.0,1.0,3900.0,3900.0,2024-03-26 00:00:00 UTC,,
1406,QE32Q50AAU,Vision,LDMtv,"",LDM1376,0DWE3SFT300520Z,5.0,250.0,1.0,250.0,250.0,2024-12-17 00:00:00 UTC,,
1024,QuattroPod Lite + RX,Vision,LDMtv,C3,5368897,5368897,0.2,222.0,1.0,222.0,222.0,2024-12-09 00:00:00 UTC,,
1265,Raspberry Pi NTP Server (1U),Vision,LDMtv,"",LDM1426,N/A,5.0,100.0,1.0,100.0,100.0,2024-12-16 00:00:00 UTC,,
1306,RF Antenna,Vision,LDMtv,"",5369056,5369056,0.1,15.0,1.0,15.0,15.0,2024-12-16 00:00:00 UTC,,
1307,RF Antenna,Vision,LDMtv,"",5369057,5369057,0.1,15.0,1.0,15.0,15.0,2024-12-16 00:00:00 UTC,,
989,ROI-HDMI,Vision,LDMtv,C2,LDM1609,K0555847,0.3,1260.0,1.0,1260.0,0.0,2024-12-02 00:00:00 UTC,,
850,RP-F617-SDI,Vision,LDMtv,"",LDM1692,20313130800-5XZ-02,4.5,913.0,1.0,913.0,913.0,2024-11-29 00:00:00 UTC,,
1938,Rugby Rack,Vision,LDMtv,"",5369050,"",0.0,0.0,1.0,0.0,0.0,2026-02-05 00:00:00 UTC,,
